TICKER,DATE,OPEN,HIGH,LOW,CLOSE,VOL
SU26222RMFS8,2020-12-15,107.121,107.399,107.121,107.201,54358
SU26222RMFS8,2020-12-16,107.249,107.25,107.087,107.23,65795
SU26222RMFS8,2020-12-17,107.26,107.28,107.097,107.28,136000
SU26222RMFS8,2020-12-18,107.299,107.299,106.95,107.098,45303
SU26222RMFS8,2020-12-21,106.841,107.121,106.75,106.839,40620
SU26222RMFS8,2020-12-22,106.85,106.85,106.75,106.849,309495
SU26222RMFS8,2020-12-23,106.85,106.89,106.551,106.72,23189
SU26222RMFS8,2020-12-24,106.74,106.76,106.6,106.74,3823
SU26222RMFS8,2020-12-25,106.77,106.771,106.7,106.771,6825
SU26222RMFS8,2020-12-28,106.869,107.299,106.713,106.84,14064
SU26222RMFS8,2020-12-29,107.0,107.03,106.6,107.03,1825740
SU26222RMFS8,2020-12-30,107.293,107.293,106.805,107.0,21613
SU26222RMFS8,2021-01-04,106.99,107.202,106.907,107.202,1886
SU26222RMFS8,2021-01-05,107.001,107.112,106.932,107.112,1689
SU26222RMFS8,2021-01-06,106.909,107.245,106.909,107.125,981
SU26222RMFS8,2021-01-08,106.91,107.195,106.91,107.095,4109
SU26222RMFS8,2021-01-11,106.95,107.152,106.78,106.8,634120
SU26222RMFS8,2021-01-12,106.878,106.878,106.698,106.818,2804
SU26222RMFS8,2021-01-13,106.36,106.827,106.36,106.769,37050
SU26222RMFS8,2021-01-14,106.779,106.819,106.504,106.69,28588
SU26222RMFS8,2021-01-15,106.877,106.877,106.211,106.406,136952
SU26222RMFS8,2021-01-18,106.45,106.45,106.268,106.32,8789
SU26222RMFS8,2021-01-19,106.15,106.48,106.15,106.48,28979
SU26222RMFS8,2021-01-20,106.599,106.599,106.277,106.428,5329
SU26222RMFS8,2021-01-21,106.632,106.636,106.28,106.301,45723
SU26222RMFS8,2021-01-22,106.339,106.339,105.924,106.098,43628
SU26222RMFS8,2021-01-25,107.094,107.094,105.898,106.148,53367
SU26222RMFS8,2021-01-26,107.0,107.0,105.849,106.148,2329
SU26222RMFS8,2021-01-27,105.902,106.354,105.902,106.06,12206
SU26222RMFS8,2021-01-28,106.18,106.18,105.806,106.13,7462
SU26222RMFS8,2021-01-29,107.096,107.096,105.98,105.98,214998
SU26222RMFS8,2021-02-01,106.234,106.234,105.97,106.084,65472
SU26222RMFS8,2021-02-02,105.885,106.157,105.882,105.99,55549
SU26222RMFS8,2021-02-03,105.892,106.139,105.8,106.043,61129
SU26222RMFS8,2021-02-04,106.043,106.2,105.907,106.149,22284
SU26222RMFS8,2021-02-05,106.547,106.547,106.03,106.24,69123
SU26222RMFS8,2021-02-08,106.043,106.597,106.043,106.298,907511
SU26222RMFS8,2021-02-09,106.587,106.595,105.883,106.041,206517
SU26222RMFS8,2021-02-10,106.09,106.09,105.839,105.939,130262
SU26222RMFS8,2021-02-11,105.611,106.396,105.611,105.682,10749
SU26222RMFS8,2021-02-12,106.187,106.195,105.171,105.171,44612
SU26222RMFS8,2021-02-15,105.506,105.506,105.2,105.208,8863
SU26222RMFS8,2021-02-16,105.3,105.3,104.9,104.968,3741
SU26222RMFS8,2021-02-17,104.97,104.97,104.562,104.771,57773
SU26222RMFS8,2021-02-18,104.999,105.11,104.83,104.951,59870
SU26222RMFS8,2021-02-19,105.009,105.01,104.537,104.65,13535
SU26222RMFS8,2021-02-20,104.808,104.86,104.531,104.85,9004
SU26222RMFS8,2021-02-22,104.93,104.93,104.78,104.78,1099
SU26222RMFS8,2021-02-24,105.247,105.247,104.53,104.694,51791
SU26222RMFS8,2021-02-25,104.719,104.719,104.313,104.375,63863
SU26222RMFS8,2021-02-26,104.518,104.518,104.001,104.003,4181
SU26222RMFS8,2021-03-01,103.699,104.22,103.699,104.199,73499
SU26222RMFS8,2021-03-02,104.199,104.199,103.6,104.156,150411
SU26222RMFS8,2021-03-03,104.156,104.3,103.985,104.3,22657
SU26222RMFS8,2021-03-04,104.507,104.599,104.301,104.595,43878
SU26222RMFS8,2021-03-05,104.596,104.596,103.965,104.19,160936
SU26222RMFS8,2021-03-09,104.199,104.329,103.939,104.2,179077
SU26222RMFS8,2021-03-10,104.497,104.497,103.823,103.823,154432
SU26222RMFS8,2021-03-11,104.196,104.196,103.473,103.696,161188
SU26222RMFS8,2021-03-12,103.686,103.886,103.42,103.481,144648
SU26222RMFS8,2021-03-15,103.882,103.882,103.299,103.34,23484
SU26222RMFS8,2021-03-16,103.63,103.631,103.207,103.37,23935
SU26222RMFS8,2021-03-17,103.594,103.594,103.152,103.153,5790
SU26222RMFS8,2021-03-18,103.593,103.594,103.0,103.05,300643
SU26222RMFS8,2021-03-19,102.761,103.193,102.761,102.828,116070
SU26222RMFS8,2021-03-22,103.296,103.296,102.55,102.707,300320
SU26222RMFS8,2021-03-23,102.807,102.808,102.002,102.171,437591
